Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Elliptical,2020-09-15 16:00:01,false,"Elliptical","0.00","231","00:25:14","112","140","1.3","81","215","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","25:14","0:00","77.0","0:00","No","25:14.04","1","0.0"
Running,2020-09-14 18:01:44,false,"Sydney Running","3.10","374","00:27:45","137","155","2.6","161","170","8:56","7:41","223","256","1.12","0.0","0.0","0.0","0.0","0.0","27:45","0:00","62.6","0:00","No","00:54.11","4","0.0"
Running,2020-09-12 17:29:29,false,"Sydney Running","3.01","334","00:25:15","135","156","2.5","164","171","8:24","7:25","236","240","1.17","0.0","0.0","0.0","0.0","0.0","25:15","0:00","64.4","0:00","No","00:02.03","4","0.0"
Elliptical,2020-09-12 13:27:34,false,"Elliptical","0.00","284","00:24:48","125","137","2.0","85","139","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","24:48","0:00","77.0","0:00","No","24:48.46","1","0.0"
Running,2020-09-11 15:45:05,false,"Sydney Running","3.04","365","00:25:12","145","158","2.9","166","174","8:17","7:10","236","256","1.17","0.0","0.0","0.0","0.0","0.0","25:12","0:00","64.4","0:00","No","00:25.76","4","0.0"
Elliptical,2020-09-10 19:00:52,false,"Elliptical","0.00","183","00:22:27","108","128","0.6","54","159","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","22:27","0:00","75.2","0:00","No","22:26.98","1","0.0"
Treadmill Running,2020-09-09 17:33:52,false,"Treadmill Running","3.05","318","00:24:57","133","159","2.5","165","171","8:11","7:40","--","--","1.20","0.0","0.0","0.0","0.0","0.0","24:57","0:00","73.4","0:00","No","00:26.59","4","0.0"
Treadmill Running,2020-09-08 15:04:03,false,"Treadmill Running","2.97","348","00:24:03","143","155","2.8","166","172","8:05","7:42","--","--","1.20","0.0","0.0","0.0","0.0","0.0","24:03","0:00","73.4","0:00","No","07:45.56","3","0.0"
Running,2020-09-07 18:36:25,false,"Sydney Running","4.25","537","00:37:44","146","164","3.2","164","174","8:52","7:30","341","361","1.11","0.0","0.0","0.0","0.0","0.0","37:44","0:00","64.4","0:00","No","02:09.15","5","0.0"
Elliptical,2020-09-06 16:21:49,false,"Elliptical","0.00","81","00:08:26.1","114","131","0.5","93","112","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","8:26.1","0:00","77.0","0:00","No","08:26.10","1","0.0"
Elliptical,2020-09-05 12:08:14,false,"Elliptical","0.00","221","00:27:12","108","132","0.8","77","110","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","27:12","0:00","73.4","0:00","No","27:12.44","1","0.0"
Running,2020-09-03 17:41:36,false,"Sydney Running","6.01","748","00:49:06","156","176","3.8","164","181","8:10","6:28","515","545","1.20","0.0","0.0","0.0","0.0","0.0","49:06","0:00","73.4","0:00","No","00:03.82","7","0.0"
Treadmill Running,2020-09-02 16:11:15,false,"Treadmill Running","3.56","441","00:29:28","150","173","3.2","160","164","8:16","7:40","--","--","1.22","0.0","0.0","0.0","0.0","0.0","29:28","0:00","73.4","0:00","No","04:42.13","4","0.0"
